office_name,date,monthly_registrations
Ghazipur,2024-08-01,424.69385
Ghazipur,2024-09-01,434.04913
Ghazipur,2024-10-01,407.72052
Ghazipur,2024-11-01,398.38788
Ghazipur,2024-12-01,381.89365
Ghazipur,2025-01-01,490.10306
Ghazipur,2025-02-01,552.60785
Ghazipur,2025-03-01,637.27344
Ghazipur,2025-04-01,699.0926
Ghazipur,2025-05-01,778.64026
Gonda,2024-06-01,359.33554
Gonda,2024-07-01,337.45255
Gonda,2024-08-01,360.72156
Gonda,2024-09-01,359.16937
Gonda,2024-10-01,317.74405
Gonda,2024-11-01,313.16718
Gonda,2024-12-01,284.47598
Gonda,2025-01-01,384.10303
Gonda,2025-02-01,428.66147
Gonda,2025-03-01,493.4501
Gonda,2025-04-01,530.9613
Gonda,2025-05-01,584.15704
Gorakhpur Rto,2024-06-01,790.0718
Gorakhpur Rto,2024-07-01,849.0381
Gorakhpur Rto,2024-08-01,947.30237
Gorakhpur Rto,2024-09-01,1033.8693
Gorakhpur Rto,2024-10-01,1099.6361
Gorakhpur Rto,2024-11-01,1173.0056
Gorakhpur Rto,2024-12-01,1242.2239
Gorakhpur Rto,2025-01-01,1410.2433
Gorakhpur Rto,2025-02-01,1552.533
Gorakhpur Rto,2025-03-01,1702.1709
Gorakhpur Rto,2025-04-01,1818.4199
Gorakhpur Rto,2025-05-01,1929.7855
Hamirpur(Up),2024-06-01,105.922554
Hamirpur(Up),2024-07-01,92.85579
Hamirpur(Up),2024-08-01,88.38909
Hamirpur(Up),2024-09-01,78.105316
Hamirpur(Up),2024-10-01,55.01941
Hamirpur(Up),2024-11-01,48.532394
Hamirpur(Up),2024-12-01,37.281136
Hamirpur(Up),2025-01-01,91.11179
Hamirpur(Up),2025-02-01,102.078545
Hamirpur(Up),2025-03-01,115.093475
Hamirpur(Up),2025-04-01,107.72394
Hamirpur(Up),2025-05-01,104.29189
Hapur,2024-06-01,266.77957
Hapur,2024-07-01,257.03192
Hapur,2024-08-01,245.91759
Hapur,2024-09-01,241.61261
Hapur,2024-10-01,192.21924
Hapur,2024-11-01,177.8158
Hapur,2024-12-01,156.74995
Hapur,2025-01-01,232.86047
Hapur,2025-02-01,246.2521
Hapur,2025-03-01,280.98245
Hapur,2025-04-01,278.23444
Hapur,2025-05-01,288.25867
Hardoi,2024-06-01,505.82352
Hardoi,2024-07-01,529.9326
Hardoi,2024-08-01,571.428
Hardoi,2024-09-01,604.74475
Hardoi,2024-10-01,608.4268
Hardoi,2024-11-01,617.7415
Hardoi,2024-12-01,615.19653
Hardoi,2025-01-01,741.51965
Hardoi,2025-02-01,844.74084
Hardoi,2025-03-01,967.19354
Hardoi,2025-04-01,1073.0659
Hardoi,2025-05-01,1194.7432
Hathras,2024-06-01,171.67834
Hathras,2024-07-01,145.17107
Hathras,2024-08-01,138.66867
Hathras,2024-09-01,128.7282
Hathras,2024-10-01,97.13329
Hathras,2024-11-01,87.198685
Hathras,2024-12-01,69.054924
Hathras,2025-01-01,130.99802
Hathras,2025-02-01,136.8551
Hathras,2025-03-01,151.23741
Hathras,2025-04-01,138.00319
Hathras,2025-05-01,132.74364
Jaunpur,2024-06-01,368.69424
Jaunpur,2024-07-01,355.30453
Jaunpur,2024-08-01,377.2369
Jaunpur,2024-09-01,375.6034
Jaunpur,2024-10-01,338.54242
Jaunpur,2024-11-01,333.36237
Jaunpur,2024-12-01,304.6887
Jaunpur,2025-01-01,409.47382
Jaunpur,2025-02-01,458.09732
Jaunpur,2025-03-01,528.10834
Jaunpur,2025-04-01,571.5924
Jaunpur,2025-05-01,631.5393
Jhansirto,2024-06-01,510.07547
Jhansirto,2024-07-01,521.6726
Jhansirto,2024-08-01,571.49255
Jhansirto,2024-09-01,602.3971
Jhansirto,2024-10-01,606.9782
Jhansirto,2024-11-01,615.2293
Jhansirto,2024-12-01,612.4697
Jhansirto,2025-01-01,738.37445
Jhansirto,2025-02-01,841.2267
Jhansirto,2025-03-01,963.26154
Jhansirto,2025-04-01,1068.7439
Jhansirto,2025-05-01,1190.0818
Jpnagar,2024-06-01,166.62569
Jpnagar,2024-07-01,136.00777
Jpnagar,2024-08-01,131.69243
Jpnagar,2024-09-01,123.83774
Jpnagar,2024-10-01,90.15824
Jpnagar,2024-11-01,82.295815
Jpnagar,2024-12-01,65.501076
Jpnagar,2025-01-01,124.491486
Jpnagar,2025-02-01,130.8725
Jpnagar,2025-03-01,144.4948
Jpnagar,2025-04-01,132.06085
Jpnagar,2025-05-01,127.12762
Kannauj,2024-06-01,116.53391
Kannauj,2024-07-01,99.85018
Kannauj,2024-08-01,95.58414
Kannauj,2024-09-01,85.96494
Kannauj,2024-10-01,60.743675
Kannauj,2024-11-01,53.530136
Kannauj,2024-12-01,42.04633
Kannauj,2025-01-01,96.32176
Kannauj,2025-02-01,106.65281
Kannauj,2025-03-01,119.18784
Kannauj,2025-04-01,111.20604
Kannauj,2025-05-01,107.4938
Kanpur Dehat,2024-06-01,168.89209
Kanpur Dehat,2024-07-01,132.86116
Kanpur Dehat,2024-08-01,127.80083
Kanpur Dehat,2024-09-01,124.51059
Kanpur Dehat,2024-10-01,87.25159
Kanpur Dehat,2024-11-01,80.87347
Kanpur Dehat,2024-12-01,65.35288
Kanpur Dehat,2025-01-01,121.99508
Kanpur Dehat,2025-02-01,128.99136
Kanpur Dehat,2025-03-01,142.45413
Kanpur Dehat,2025-04-01,130.21312
Kanpur Dehat,2025-05-01,125.52592
Kanpur Nagar,2024-06-01,1525.1874
Kanpur Nagar,2024-07-01,1578.9839
Kanpur Nagar,2024-08-01,1760.7854
Kanpur Nagar,2024-09-01,1847.8873
Kanpur Nagar,2024-10-01,1912.2502
Kanpur Nagar,2024-11-01,1954.3175
Kanpur Nagar,2024-12-01,1981.7239
Kanpur Nagar,2025-01-01,2085.2808
Kanpur Nagar,2025-02-01,2155.7031
Kanpur Nagar,2025-03-01,2222.5955
Kanpur Nagar,2025-04-01,2255.3228
Kanpur Nagar,2025-05-01,2285.8967
Kasganj(Kashi Ram Nagar),2024-06-01,96.8718
Kasganj(Kashi Ram Nagar),2024-07-01,80.130684
Kasganj(Kashi Ram Nagar),2024-08-01,75.699104
Kasganj(Kashi Ram Nagar),2024-09-01,69.9391
Kasganj(Kashi Ram Nagar),2024-10-01,46.068638
Kasganj(Kashi Ram Nagar),2024-11-01,41.321518
Kasganj(Kashi Ram Nagar),2024-12-01,31.80898
Kasganj(Kashi Ram Nagar),2025-01-01,82.94072
Kasganj(Kashi Ram Nagar),2025-02-01,95.21735
Kasganj(Kashi Ram Nagar),2025-03-01,109.13276
Kasganj(Kashi Ram Nagar),2025-04-01,102.57124
Kasganj(Kashi Ram Nagar),2025-05-01,99.63944
Kaushambi,2024-06-01,171.99184
Kaushambi,2024-07-01,131.97357
Kaushambi,2024-08-01,130.39014
Kaushambi,2024-09-01,126.42972
Kaushambi,2024-10-01,87.45401
Kaushambi,2024-11-01,82.86761
Kaushambi,2024-12-01,66.404625
Kaushambi,2025-01-01,122.845
Kaushambi,2025-02-01,130.20622
Kaushambi,2025-03-01,143.45256
Kaushambi,2025-04-01,131.17276
Kaushambi,2025-05-01,126.352905
Lakhimpur Kheri,2024-06-01,417.29584
Lakhimpur Kheri,2024-07-01,438.97958
Lakhimpur Kheri,2024-08-01,456.64792
Lakhimpur Kheri,2024-09-01,471.76773
Lakhimpur Kheri,2024-10-01,450.35886
Lakhimpur Kheri,2024-11-01,442.89352
Lakhimpur Kheri,2024-12-01,430.98886
Lakhimpur Kheri,2025-01-01,541.72504
Lakhimpur Kheri,2025-02-01,613.5184
Lakhimpur Kheri,2025-03-01,706.8546
Lakhimpur Kheri,2025-04-01,779.56976
Lakhimpur Kheri,2025-05-01,870.2503
Lalitpur,2024-06-01,93.270424
Lalitpur,2024-07-01,82.85762
Lalitpur,2024-08-01,78.24159
Lalitpur,2024-09-01,68.39558
Lalitpur,2024-10-01,47.945576
Lalitpur,2024-11-01,41.844696
Lalitpur,2024-12-01,31.385221
Lalitpur,2025-01-01,84.48234
Lalitpur,2025-02-01,96.110176
Lalitpur,2025-03-01,110.082634
Lalitpur,2025-04-01,103.35026
Lalitpur,2025-05-01,100.36128
Mahanagar Arto Lucknow (Up321),2024-06-01,418.58157
Mahanagar Arto Lucknow (Up321),2024-07-01,449.22366
Mahanagar Arto Lucknow (Up321),2024-08-01,474.59317
Mahanagar Arto Lucknow (Up321),2024-09-01,490.97974
Mahanagar Arto Lucknow (Up321),2024-10-01,474.09988
Mahanagar Arto Lucknow (Up321),2024-11-01,466.74905
Mahanagar Arto Lucknow (Up321),2024-12-01,456.52914
Mahanagar Arto Lucknow (Up321),2025-01-01,570.1721
Mahanagar Arto Lucknow (Up321),2025-02-01,646.5839
Mahanagar Arto Lucknow (Up321),2025-03-01,744.68036
Mahanagar Arto Lucknow (Up321),2025-04-01,822.9133
Mahanagar Arto Lucknow (Up321),2025-05-01,919.2011
Maharajganj,2024-06-01,265.9688
Maharajganj,2024-07-01,255.05588
Maharajganj,2024-08-01,244.84698
Maharajganj,2024-09-01,240.19687
Maharajganj,2024-10-01,190.3235
Maharajganj,2024-11-01,176.85446
Maharajganj,2024-12-01,155.52159
Maharajganj,2025-01-01,231.17972
Maharajganj,2025-02-01,244.40138
Maharajganj,2025-03-01,278.71814
Maharajganj,2025-04-01,275.55026
Maharajganj,2025-05-01,285.1207
Mahoba,2024-06-01,92.55629
Mahoba,2024-07-01,81.68927
Mahoba,2024-08-01,77.0398
Mahoba,2024-09-01,67.71257
Mahoba,2024-10-01,47.144596
Mahoba,2024-11-01,41.180195
Mahoba,2024-12-01,30.916933
