date,office_name,office_code,fuel_type,registrations
2023-02-01,Amethi Arto,UP36,Electric(Bov),173
2023-01-01,Amethi Arto,UP36,Electric(Bov),156
2023-07-01,Amethi Arto,UP36,Electric(Bov),188
2023-06-01,Amethi Arto,UP36,Electric(Bov),152
2023-03-01,Amethi Arto,UP36,Electric(Bov),189
2023-05-01,Amethi Arto,UP36,Electric(Bov),196
2023-11-01,Amethi Arto,UP36,Electric(Bov),192
2023-10-01,Amethi Arto,UP36,Electric(Bov),190
2023-09-01,Amethi Arto,UP36,Electric(Bov),245
2024-04-01,Amethi Arto,UP36,Electric(Bov),192
2024-04-01,Amethi Arto,UP36,Pure Ev,8
2024-02-01,Amethi Arto,UP36,Electric(Bov),224
2024-01-01,Amethi Arto,UP36,Electric(Bov),204
2024-03-01,Amethi Arto,UP36,Electric(Bov),189
2024-03-01,Amethi Arto,UP36,Pure Ev,1
2024-05-01,Amethi Arto,UP36,Electric(Bov),186
2024-05-01,Amethi Arto,UP36,Pure Ev,41
2020-08-01,Arto Office Rampur,UP22,Electric(Bov),21
2020-12-01,Arto Office Rampur,UP22,Electric(Bov),74
2020-02-01,Arto Office Rampur,UP22,Electric(Bov),210
2020-01-01,Arto Office Rampur,UP22,Electric(Bov),238
2020-07-01,Arto Office Rampur,UP22,Electric(Bov),49
2020-06-01,Arto Office Rampur,UP22,Electric(Bov),55
2020-03-01,Arto Office Rampur,UP22,Electric(Bov),88
2020-11-01,Arto Office Rampur,UP22,Electric(Bov),54
2020-10-01,Arto Office Rampur,UP22,Electric(Bov),42
2020-09-01,Arto Office Rampur,UP22,Electric(Bov),34
2021-04-01,Arto Office Rampur,UP22,Electric(Bov),24
2021-08-01,Arto Office Rampur,UP22,Electric(Bov),40
2021-12-01,Arto Office Rampur,UP22,Electric(Bov),79
2021-02-01,Arto Office Rampur,UP22,Electric(Bov),51
2021-01-01,Arto Office Rampur,UP22,Electric(Bov),55
2021-07-01,Arto Office Rampur,UP22,Electric(Bov),58
2021-06-01,Arto Office Rampur,UP22,Electric(Bov),14
2021-03-01,Arto Office Rampur,UP22,Electric(Bov),51
2021-05-01,Arto Office Rampur,UP22,Electric(Bov),23
2021-11-01,Arto Office Rampur,UP22,Electric(Bov),37
2021-10-01,Arto Office Rampur,UP22,Electric(Bov),51
2021-09-01,Arto Office Rampur,UP22,Electric(Bov),48
2022-04-01,Arto Office Rampur,UP22,Electric(Bov),64
2022-08-01,Arto Office Rampur,UP22,Electric(Bov),164
2022-12-01,Arto Office Rampur,UP22,Electric(Bov),72
2022-02-01,Arto Office Rampur,UP22,Electric(Bov),42
2022-01-01,Arto Office Rampur,UP22,Electric(Bov),65
2022-07-01,Arto Office Rampur,UP22,Electric(Bov),189
2022-06-01,Arto Office Rampur,UP22,Electric(Bov),81
2022-03-01,Arto Office Rampur,UP22,Electric(Bov),44
2022-05-01,Arto Office Rampur,UP22,Electric(Bov),72
2022-11-01,Arto Office Rampur,UP22,Electric(Bov),99
2022-10-01,Arto Office Rampur,UP22,Electric(Bov),70
2022-09-01,Arto Office Rampur,UP22,Electric(Bov),133
2023-04-01,Arto Office Rampur,UP22,Electric(Bov),107
2023-08-01,Arto Office Rampur,UP22,Electric(Bov),181
2023-12-01,Arto Office Rampur,UP22,Electric(Bov),238
2023-02-01,Arto Office Rampur,UP22,Electric(Bov),120
2023-01-01,Arto Office Rampur,UP22,Electric(Bov),98
2023-07-01,Arto Office Rampur,UP22,Electric(Bov),116
2023-06-01,Arto Office Rampur,UP22,Electric(Bov),141
2023-03-01,Arto Office Rampur,UP22,Electric(Bov),157
2023-05-01,Arto Office Rampur,UP22,Electric(Bov),165
2023-11-01,Arto Office Rampur,UP22,Electric(Bov),136
2023-10-01,Arto Office Rampur,UP22,Electric(Bov),140
2023-09-01,Arto Office Rampur,UP22,Electric(Bov),113
2024-04-01,Arto Office Rampur,UP22,Electric(Bov),119
2024-04-01,Arto Office Rampur,UP22,Strong Hybrid Ev,1
2024-02-01,Arto Office Rampur,UP22,Electric(Bov),125
2024-01-01,Arto Office Rampur,UP22,Electric(Bov),257
2024-03-01,Arto Office Rampur,UP22,Electric(Bov),154
2024-05-01,Arto Office Rampur,UP22,Electric(Bov),172
2024-05-01,Arto Office Rampur,UP22,Pure Ev,3
2024-05-01,Arto Office Rampur,UP22,Strong Hybrid Ev,1
2020-08-01,Auraiya,UP79,Electric(Bov),3
2020-01-01,Auraiya,UP79,Electric(Bov),2
2020-07-01,Auraiya,UP79,Electric(Bov),2
2020-03-01,Auraiya,UP79,Electric(Bov),4
2020-11-01,Auraiya,UP79,Electric(Bov),4
2020-10-01,Auraiya,UP79,Electric(Bov),3
2020-09-01,Auraiya,UP79,Electric(Bov),4
2021-04-01,Auraiya,UP79,Electric(Bov),1
2021-08-01,Auraiya,UP79,Electric(Bov),5
2021-12-01,Auraiya,UP79,Electric(Bov),28
2021-02-01,Auraiya,UP79,Electric(Bov),5
2021-01-01,Auraiya,UP79,Electric(Bov),1
2021-07-01,Auraiya,UP79,Electric(Bov),1
2021-06-01,Auraiya,UP79,Electric(Bov),9
2021-03-01,Auraiya,UP79,Electric(Bov),2
2021-11-01,Auraiya,UP79,Electric(Bov),4
